simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0874799	18999	274.461
40	1228	91	0	108.792	3.72442e-06	4.15345
80	1245	17	0	95.6297	7.05807e-16	0.0170102
120	1265	20	0	96.215	1.26015e-25	6.96636e-05
160	1288	23	0	96.0139	2.09532e-35	2.85295e-07
200	1332	44	0	97.8776	3.22027e-45	1.16835e-09
240	1381	49	0	98.103	4.50057e-55	4.78462e-12
280	1426	45	0	96.8584	5.73995e-65	1.95935e-14
320	1492	66	0	97.8266	6.69917e-75	8.02361e-17
360	1556	64	0	98.829	7.11116e-85	3.28564e-19
400	1639	84	1	98.2871	6.8319e-95	1.34543e-21
440	1739	102	2	98.8584	5.89184e-105	5.5093e-24
480	1855	119	3	100.515	4.53514e-115	2.25591e-26
520	2005	151	1	99.1676	3.07706e-125	9.23717e-29
560	2122	118	1	100.55	1.81366e-135	3.78221e-31
600	2208	89	3	102.616	9.21761e-146	1.54861e-33
640	2306	103	5	101.823	3.98622e-156	6.34052e-36
680	2403	97	0	103.121	1.45611e-166	2.59594e-38
720	2443	43	3	102.852	4.53215e-177	1.0628e-40
760	2475	35	3	103.263	1.19362e-187	4.35101e-43
800	2519	47	3	104.37	2.66959e-198	1.7812e-45
840	2594	83	8	104.899	4.98971e-209	7.29156e-48
880	2680	91	5	104.584	7.85432e-220	2.98478e-50
920	2761	90	9	106.216	1.03673e-230	1.22177e-52
960	2871	115	5	106.188	1.13701e-241	5.00092e-55
1000	2996	133	8	107.186	1.05721e-252	2.0469e-57
1040	3126	138	8	108.495	8.26103e-264	8.37777e-60
1080	3321	210	15	109.461	5.28826e-275	3.42882e-62
1120	3539	225	7	112.165	2.75601e-286	1.40328e-64
1160	3805	272	6	114.502	1.12079e-297	5.74286e-67
1200	4040	240	5	113.601	0	2.35013e-69
1240	4227	191	4	126.753	0	256.776
1280	4393	175	9	116.913	0	1.05071
1320	4558	173	8	118.136	0	0.00443633
1360	4652	100	6	121.754	0	0.000165647
1400	4710	61	3	120.649	0	6.63353e-05
1440	4808	106	8	117.07	0	2.71338e-07
1440.02	4812	5	1	0.837234	0	2.70593e-07
